bayesData,,,,,,,,,,,,,,,,,,,,,,,,
data_id,ego_speed,ego_angle,ego_lane,rel_f0,rel_b0,rel_f1,is_safe_f0,is_safe_f1,is_safe_b0,f0_speed,f0_acc,f0_lane,f0_intension,b0_speed,b0_acc,b0_lane,b0_intension,f1_speed,f1_acc,f1_lane,f1_intension,weather,decision_speed,decision_angle
100,mid,right,right,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,right,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,dec,right
100,stop,straight,right,mid,close,mid,unsafe,safe,unsafe,stop,keep,right,left,stop,keep,left,left,stop,keep,left,left,Rain,keep,right
100,stop,straight,right,mid,close,mid,unsafe,safe,unsafe,stop,keep,right,left,stop,keep,left,left,stop,keep,left,left,Rain,keep,right
100,low,straight,right,mid,close,mid,unsafe,safe,unsafe,stop,acc,right,left,stop,keep,left,left,stop,keep,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,left,low,dec,left,left,stop,keep,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,safe,safe,unsafe,low,dec,right,left,low,dec,left,left,stop,keep,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,safe,safe,unsafe,low,dec,right,left,low,dec,left,left,stop,acc,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,safe,safe,unsafe,low,dec,right,left,low,acc,left,left,low,acc,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,safe,safe,unsafe,low,dec,right,left,low,acc,left,left,low,acc,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,safe,safe,unsafe,low,dec,right,left,low,acc,left,left,low,acc,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,safe,safe,unsafe,low,dec,right,left,low,acc,left,left,low,acc,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,left,low,acc,left,left,low,acc,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,left,low,acc,left,left,low,acc,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,keep,right,left,low,acc,left,left,low,keep,left,left,Rain,keep,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,keep,right,left,low,acc,left,left,low,keep,left,left,Rain,keep,right
